PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Jiang, Li; Ji, Yadong; Voulalas, Pamela J.; Keaser, Michael; Xu, Su; Gullapalli, Rao P.; Greenspan, Joel; Masri, Radi								Motor Cortex Stimulation Suppresses Cortical Responses to Noxious Hindpaw Stimulation After Spinal Cord Lesion in Rats								BRAIN STIMULATION				7	2			182	189		10.1016/j.brs.2013.12.013				MAR-APR 2014	2014	Background: Motor cortex stimulation (MCS) is a potentially effective treatment for chronic neuropathic pain. The neural mechanisms underlying the reduction of hyperalgesia and allodynia after MCS are not completely understood.Objective: To investigate the neural mechanisms responsible for analgesic effects after MCS. We test the hypothesis that MCS attenuates evoked blood oxygen-level dependent signals in cortical areas involved in nociceptive processing in an animal model of chronic neuropathic pain.Methods: We used adult female Sprague-Dawley rats (n = 10) that received unilateral electrolytic lesions of the right spinal cord at the level of C6 (SCL animals). In these animals, we performed magnetic resonance imaging (fMRI) experiments to study the analgesic effects of MCS. On the day of fMRI experiment, 14 days after spinal cord lesion, the animals were anesthetized and epidural bipolar platinum electrodes were placed above the left primary motor cortex. Two 10-min sessions of fMRI were performed before and after a session of MCS (50 mu A, 50 Hz, 300 mu s, for 30 min). During each fMRI session, the right hindpaw was electrically stimulated (noxious stimulation: 5 mA, 5 Hz, 3 ms) using a block design of 20 s stimulation off and 20 s stimulation on. A general linear model-based statistical parametric analysis was used to analyze whole brain activation maps. Region of interest (ROI) analysis and paired t-test were used to compare changes in activation before and after MCS in these ROI.Results: MCS suppressed evoked blood oxygen dependent signals significantly (Family-wise error corrected P < 0.05) and bilaterally in 2 areas heavily implicated in nociceptive processing. These areas consisted of the primary somatosensory cortex and the prefrontal cortex.Conclusions: These findings suggest that, in animals with SCL, MCS attenuates hypersensitivity by suppressing activity in the primary somatosensory cortex and prefrontal cortex. (C) 2014 Published by Elsevier Inc.																		1935-861X	1876-4754		WOS:000333442200005	24468093	
J	Fischer, Michael; Carli, Giancarlo; Raboisson, Patrick; Reeh, Peter								The interphase of the formalin test								PAIN				155	3			511	521		10.1016/j.pain.2013.11.015				MAR 2014	2014	The formalin test still surprises with its biphasic pain-related behavior resulting from a quiescent interphase that does not occur with other algogenic compounds and remains unexplained. The first phase has been attributed to TRPA1-mediated excitation of nociceptors, the second phase to their inflammatory and/or spinal sensitization. We show that the second and interphase require higher formaldehyde concentrations to emerge, and that from 12 mM on calcium influx is induced in TRPA1-deficient sensory neurons as well as in native HEK293T cells. After a short depolarizing and excitatory period in a subset, all wild-type neurons showed a concentration-dependent hyperpolarization, a reduction of voltage-activated sodium currents, and a progressive increase of the input resistance, which, after about 10 min restored the transiently lost excitability, enabling smaller and wider action potentials to be evoked than before formaldehyde (30 mM). The hyperpolarizing effect was absent if extracellular sodium was replaced, and largely prevented by a high but not low concentration of tetrodotoxin. In rat skin in vivo, the spatiotemporal redistribution of injected formalin and the plasma extravasation were studied using Evans blue. The parameters gained were entered into a computational model to predict the activation pattern of primary afferents. The model supports a peripherally generated biphasic response, the time course matching the behavioral results. In conclusion, the interphase is a result of hyperpolarization and transient inactivation by formaldehyde of the surviving neurons; their recovery and the centrifugal spread of formalin in the skin induce a second phase of nociceptive activity before the formalin concentration falls below threshold. (C) 2013 International Association for the Study of Pain. Published by Elsevier B.V. All rights reserved.																		0304-3959	1872-6623		WOS:000331757800010	24291649	
C	Kent, Alexander R.; Min, Xiaoyi; Rosenberg, Stuart P.; Fayram, Timothy A.			IEEE					Computational Modeling Analysis of a Spinal Cord Stimulation Paddle Lead Reveals Broad, Gapless Dermatomal Coverage								2014 36TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						6254	6257						2014	2014	Spinal cord stimulation (SCS) is an effective therapy for treating chronic pain. The St. Jude Medical PENTA (TM) paddle lead features a 4x5 contact array for achieving broad, selective coverage of dorsal column (DC) fibers. The objective of this work was to evaluate DC activation regions that correspond to dermatomal coverage with use of the PENTA lead in conjunction with a lateral sweep programming algorithm. We used a two-stage computational model, including a finite element method model of field potentials in the spinal cord during stimulation, coupled to a biophysical cable model of mammalian, myelinated nerve fibers to determine fiber activation within the DC. We found that across contact configurations used clinically in the sweep algorithm, the activation region shifted smoothly between left and right DC, and could achieve gapless medio-lateral coverage in dermatomal fiber tract zones. Increasing stimulation amplitude between the DC threshold and discomfort threshold led to a greater area of activation and number of dermatomal zones covered on the left and/or right DC, including L1-2 zones corresponding to dermatomes of the lower back. This work demonstrates that the flexibility in contact selection offered by the PENTA lead may enable patient-specific tailoring of SCS.					36th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)36th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	AUG 26-30, 2014AUG 26-30, 2014	IEEE Engn Medicine & Biol SocIEEE Engn Medicine & Biol Soc	Chicago, ILChicago, IL										1557-170X		978-1-4244-7929-0	WOS:000350044706062	25571426	
C	Morch, Carsten Dahl; Vera-Portocarrero, Louis; Frahm, Ken Steffen						Jensen, W; Andersen, OK; Akay, M		On Electrode Configuration for Low-Back Peripheral Nerve Field Stimulation								REPLACE, REPAIR, RESTORE, RELIEVE - BRIDGING CLINICAL AND ENGINEERING SOLUTIONS IN NEUROREHABILITATION		Biosystems and Biorobotics		7				585	590		10.1007/978-3-319-08072-7_85				2014	2014	Peripheral nerve field stimulation (PNFS) has been proposed as treatment for chronic low-back pain. With this technique an electrode is implanted in the subcutaneous tissue in the painful area. No specific nerve is isolated and the neural target appears to be the tactile cutaneous nerve fiber branches. In order to understand the neural mechanisms behind PNFS a mathematical model has been proposed. The aim of the present study is to investigate the activation of tactile A beta-fibers and nociceptive A delta-fibers. A finite element model of the cutaneous and subcutaneous tissue was used to estimate the electrical field generated by two subcutaneously implanted electrodes. The estimated electrical field was used to estimate the activation threshold and location by a stochastically branching nerve fiber model. The model showed that the area of A beta-fiber activation was always larger than the area of A delta-fiber activation. While most electrode configurations provided similar areas of nerve fiber activation, the guarded cathode configuration may be slightly better than the other configurations.					2nd International Conference on NeuroRehabilitation (ICNR)2nd International Conference on NeuroRehabilitation (ICNR)	JUN 24-26, 2014JUN 24-26, 2014		Aalborg, DENMARKAalborg, DENMARK										2195-3562		978-3-319-08072-7; 978-3-319-08071-0	WOS:000391205200085		
J	Summers, Paul Eugene; Porro, Carlo Adolfo; Giove, Federico								Somatotopy of nociceptive responses in the human spinal cord								PAIN				154	11			2572	2573		10.1016/j.pain.2013.07.056				NOV 2013	2013																			0304-3959	1872-6623		WOS:000325927500045	23973357	
J	Kwok, Yuen H.; Tuke, Jonathan; Nicotra, Lauren L.; Grace, Peter M.; Rolan, Paul E.; Hutchinson, Mark R.								TLR 2 and 4 Responsiveness from Isolated Peripheral Blood Mononuclear Cells from Rats and Humans as Potential Chronic Pain Biomarkers								PLOS ONE				8	10					e77799	10.1371/journal.pone.0077799				OCT 30 2013	2013	Background: Chronic pain patients have increased peripheral blood mononuclear cell Interkeukin-1 beta production following TLR2 and TLR4 simulation. Here we have used a human-to-rat and rat-to-human approach to further investigate whether peripheral blood immune responses to TLR agonists might be suitable for development as possible systems biomarkers of chronic pain in humans.Methods and Results: Study 1: using a graded model of chronic constriction injury in rats, behavioral allodynia was assessed followed by in vitro quantification of TLR2 and TLR4 agonist-induced stimulation of IL-1 beta release by PBMCs and spinal cord tissues (n = 42; 6 rats per group). Statistical models were subsequently developed using the IL-1 beta responses, which distinguished the pain/no pain states and predicted the degree of allodynia. Study 2: the rat-derived statistical models were tested to assess their predictive utility in determining the pain status of a published human cohort that consists of a heterogeneous clinical pain population (n = 19) and a pain-free population (n = 11). The predictive ability of one of the rat models was able to distinguish pain patients from controls with a ROC AUC of 0.94. The rat model was used to predict the presence of pain in a new chronic pain cohort and was able to accurately predict the presence of pain in 28 out of the 34 chronic pain participants.Conclusions: These clinical findings confirm our previous discoveries of the involvement of the peripheral immune system in chronic pain. Given that these findings are reflected in the prospective graded rat data, it suggests that the TLR response from peripheral blood and spinal cord were related to pain and these clinical findings do indeed act as system biomarkers for the chronic pain state. Hence, they provide additional impetus to the neuroimmune interaction to be a drug target for chronic pain.																		1932-6203			WOS:000326334500063	24204973	
J	Jiao, Jianhang; Jensen, Winnie; Harreby, Kristian R.; Lykholt, Line Elisabeth; Ganeswarathas, Sahana; Sevcencu, Cristian								THE EFFECT OF SPINAL CORD STIMULATION ON EPILEPTIC SEIZURES SUPPRESSION								BIOMEDICAL ENGINEERING-BIOMEDIZINISCHE TECHNIK				58							10.1515/bmt-2013-4011			1	AUG 2013	2013	Spinal cord stimulation (SCS) has been applied for the treatment of chronic pain for decades. Recent studies have shown that SCS may also reduce or prevent epileptic seizures, but it is not known which stimulation parameters may be effective. The objective of the present study was to investigate the effect of several SCS frequencies on seizures induced in rats by pentylenetetrazole (PTZ) infusion. The effect was evaluated by analysing electrocorticogram (ECoG) recordings. SCS using 0.3 and 0.8 mA biphasic 100/500 mu s pulses delivered at five frequencies was administered in two rats in 60 s stimulation sessions. The present results indicate that 130 and 180 Hz SCS may have anti-epileptic effects and 30 Hz SCS may be pro-convulsive. Further data are needed to validate these results to establish an effective SCS pattern.																		0013-5585	1862-278X		WOS:000497714000276	24042614	
J	Dubovy, Petr; Brazda, Vaclav; Klusakova, Ilona; Hradilova-Svizenska, Ivana								Bilateral elevation of interleukin-6 protein and mRNA in both lumbar and cervical dorsal root ganglia following unilateral chronic compression injury of the sciatic nerve								JOURNAL OF NEUROINFLAMMATION				10						55	10.1186/1742-2094-10-55				MAY 1 2013	2013	Background: Current research implicates interleukin (IL)-6 as a key component of the nervous-system response to injury with various effects.Methods: We used unilateral chronic constriction injury (CCI) of rat sciatic nerve as a model for neuropathic pain. Immunofluorescence, ELISA, western blotting and in situ hybridization were used to investigate bilateral changes in IL-6 protein and mRNA in both lumbar (L4-L5) and cervical (C7-C8) dorsal root ganglia (DRG) following CCI. The operated (CCI) and sham-operated (sham) rats were assessed after 1, 3, 7, and 14 days. Withdrawal thresholds for mechanical hyperalgesia and latencies for thermal hyperalgesia were measured in both ipsilateral and contralateral hind and fore paws.Results: The ipsilateral hind paws of all CCI rats displayed a decreased threshold of mechanical hyperalgesia and withdrawal latency of thermal hyperalgesia, while the contralateral hind and fore paws of both sides exhibited no significant changes in mechanical or thermal sensitivity. No significant behavioral changes were found in the hind and fore paws on either side of the sham rats, except for thermal hypersensitivity, which was present bilaterally at 3 days. Unilateral CCI of the sciatic nerve induced a bilateral increase in IL-6 immunostaining in the neuronal bodies and satellite glial cells (SGC) surrounding neurons of both lumbar and cervical DRG, compared with those of naive control rats. This bilateral increase in IL-6 protein levels was confirmed by ELISA and western blotting. More intense staining for IL-6 mRNA was detected in lumbar and cervical DRG from both sides of rats following CCI. The DRG removed from sham rats displayed a similar pattern of staining for IL-6 protein and mRNA as found in naive DRG, but there was a higher staining intensity in SGC.Conclusions: Bilateral elevation of IL-6 protein and mRNA is not limited to DRG homonymous to the injured nerve, but also extended to DRG that are heteronymous to the injured nerve. The results for IL-6 suggest that the neuroinflammatory reaction of DRG to nerve injury is propagated alongside the neuroaxis from the lumbar to the remote cervical segments. This is probably related to conditioning of cervical DRG neurons to injury.																		1742-2094			WOS:000319195400001	23634725	
J	Shunmugavel, Anandakumar; Martin, Marcus M.; Khan, Mushfiquddin; Copay, Anne G.; Subach, Brian R.; Schuler, Thomas C.; Singh, Inderjit								Simvastatin Ameliorates Cauda Equina Compression Injury in a Rat Model of Lumbar Spinal Stenosis								JOURNAL OF NEUROIMMUNE PHARMACOLOGY				8	1			274	286		10.1007/s11481-012-9419-3				MAR 2013	2013	Lumbar spinal stenosis (LSS) is the leading cause of morbidity and mortality worldwide. LSS pathology is associated with secondary injury caused by inflammation, oxidative damage and cell death. Apart from laminectomy, pharmacological therapy targeting secondary injury is limited. Statins are FDA-approved cholesterol-lowering drug. They also show pleiotropic anti-inflammatory, antioxidant and neuroprotective effects. To investigate the therapeutic efficacy of simvastatin in restoring normal locomotor function after cauda equina compression (CEC) in a rat model of LSS, CEC injury was induced in rats by implanting silicone gels into the epidural spaces of L4 and L6. Experimental group was treated with simvastatin (5 mg/kg body weight), while the injured (vehicle) and sham operated (sham) groups received vehicle solution. Locomotor function in terms of latency on rotarod was measured for 49 days and the threshold of pain was determined for 14 days. Rats were sacrificed on day 3 and 14 and the spinal cord and cauda equina fibers were extracted and studied by histology, immunofluorescence, electron microscopy (EM) and TUNEL assay. Simvastatin aided locomotor functional recovery and enhanced the threshold of pain after the CEC. Cellular Infiltration and demyelination decreased in the spinal cord from the simvastatin group. EM revealed enhanced myelination of cauda equina in the simvastatin group. TUNEL assay showed significantly decreased number of apoptotic neurons in spinal cord from the simvastatin group compared to the vehicle group. Simvastatin hastens the locomotor functional recovery and reduces pain after CEC. These outcomes are mediated through the neuroprotective and anti-inflammatory properties of simvastatin. The data indicate that simvastatin may be a promising drug candidate for LSS treatment in humans.																		1557-1890	1557-1904		WOS:000315441900026	23188522	
J	Sankarasubramanian, Vishwanath; Buitenweg, Jan R.; Holsheimer, Jan; Veltink, Peter H.								Staggered Transverse Tripoles With Quadripolar Lateral Anodes Using Percutaneous and Surgical Leads in Spinal Cord Stimulation								NEUROSURGERY				72	3			483	491		10.1227/NEU.0b013e31827d0e12				MAR 2013	2013	BACKGROUND: In spinal cord stimulation for low-back pain, the use of electrode arrays with both low-power requirements and selective activation of target dorsal column (DC) fibers is desired. The aligned transverse tripolar lead configuration offers the best DC selectivity. Electrode alignment of the same configuration using 3 parallel percutaneous leads is possible, but compromised by longitudinal migration, resulting in loss of DC selectivity. This loss might be repaired by using the adjacent anodal contacts on the lateral leads.OBJECTIVE: To investigate if stimulation using adjacent anodal contacts on the lateral percutaneous leads of a staggered transverse tripole can restore DC selectivity.METHODS: Staggered transverse tripoles with quadripolar lateral anodes were modeled on the low-thoracic vertebral region (T10-T12) of the spinal cord using (a) percutaneous lead with staggered quadripolar lateral anodal configuration (PERC QD) and (b) laminotomy lead with staggered quadripolar lateral anodal configuration (LAM QD), of the same contact dimensions. The commercially available LAM 565 surgical lead with 16 widely spaced contacts was also modeled. For comparison with PERC QD, staggered transverse tripoles with dual lateral anodes were modeled by using percutaneous lead with staggered dual lateral anodal configuration (PERC ST).RESULTS: The PERC QD improved the depth of DC penetration and enabled selective recruitment of DCs in comparison with PERC ST. Mediolateral selectivity of DCs could not be achieved with the LAM 565.CONCLUSION: Stimulation using PERC QD improves anodal shielding of dorsal roots and restores DC selectivity. Based on our modeling study, we hypothesize that, in clinical practice, LAM QD can provide an improved performance compared with the PERC QD. Our model also predicts that the same configuration realized on the commercial LAM 565 surgical lead with widely spaced contacts cannot selectively stimulate DCs essential in treating low-back pain.																		0148-396X	1524-4040		WOS:000315193800054	23151620	
J	Smits, Helwin; van Kleef, Maarten; Holsheimer, Jan; Joosten, Elbert A. J.								Experimental Spinal Cord Stimulation and Neuropathic Pain: Mechanism of Action, Technical Aspects, and Effectiveness								PAIN PRACTICE				13	2			154	168		10.1111/j.1533-2500.2012.00579.x				FEB 2013	2013	Spinal cord stimulation (SCS) is a valuable treatment for chronic intractable neuropathic pain. Although SCS has gone through a technological revolution over the last four decades, the neurophysiologic and biochemical mechanisms of action have only been partly elucidated. Animal experimental work has provided some evidence for spinal as well as supraspinal mechanisms of neuropathic pain relief of SCS. A SCS computer model of the electrical properties of the human spinal cord revealed many basic neurophysiologic principles that were clinically validated later on. The main question in clinical SCS is how to further improve the effectiveness of SCS as there is still a significant failure rate of 30%. In this context, experimental studies are needed to elucidate which target pain neuron(s) are involved, as well as with what exact electrical stimulation this target neuron can be influenced to produce an optimal supapression of neuropathic pain. This article reviews the basic clinical and experimental technical aspects in relation to the effectiveness of SCS in view of recent understanding of the dorsal horn pain circuit involved. These data may then result in experiments needed for an improved understanding of the mechanisms underlying SCS and consequently lead to improvement and increased effectiveness of SCS in neuropathic pain as a clinical therapy.																		1530-7085	1533-2500		WOS:000314757400008	22780956	
C	Laird, James H.; Parker, John L.			IEEE					A Model of Evoked Potentials in Spinal Cord Stimulation								2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						6555	6558						2013	2013	Electrical stimulation of the spinal cord is used for pain relief, and is in use for hundreds of thousands of cases of chronic neuropathic pain. In spinal cord stimulation (SCS), an array of electrodes is implanted in the epidural space of the cord, and electrical currents are used to stimulate nearby nerve fibers, believed to be in the dorsal columns of the cord.Despite the long history of SCS for pain, stretching over 30 years, its underlying mechanisms are poorly understood, and the therapy has evolved very little in this time.Recent work has resulted in the ability to record complex compound action potential waveforms during therapy. These waveforms reflect the neural activity evoked by the therapeutic stimulation, and reveal information about the underlying physiological processes. We aim to simulate these processes to the point of reproducing these recordings.We establish a hybrid model of SCS, composed of a three-dimensional electrical model and a neural model. The 3D model describes the geometry of the spinal regions under consideration, and the electric fields that result from any flow of current within them. The neural model simulates the behaviour of spinal nerve fibers, which are the target tissues of the therapy. The combination of these two models is used to predict which fibers may be recruited by a given stimulus, as well as to predict the ensuing recorded waveforms.The model is shown to reproduce major features of spinal compound action potentials, such as threshold and propagation behaviour, which have been observed in experiments.The model's coverage of processes from stimulation to recording allows it to be compared side-by-side with actual experimental data, and will permit its refinement to a substantial level of accuracy.					35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)35th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	JUL 03-07, 2013JUL 03-07, 2013	IEEE Engn Med Biol Soc; Japanese Soc Med & Biol EngnIEEE Engn Med Biol Soc; Japanese Soc Med & Biol Engn	Osaka, JAPANOsaka, JAPAN										1557-170X		978-1-4577-0216-7	WOS:000341702106235	24111244	
J	Falowski, S.; Sharan, A.								A review on spinal cord stimulation								JOURNAL OF NEUROSURGICAL SCIENCES				56	4			287	298						DEC 2012	2012	Spinal cord stimulation has evolved since its inception. It has been used as a treatment option since 1967 with a concentration on chronic pain syndromes. This review will focus on reviewing the literature and the most recent publications, as well as a focus on the advancements in technology. The most common indications will be discussed as well as psychological screening, trials, implantation technique, and programming. Focused attention is on evolving technology and the direction of the field. This focus leans on the technology to keep pace with the evolving clinical needs.																		0390-5616	1827-1855		WOS:000311258300003	23111289	
J	Rhudy, Jamie L.; Martin, Satin L.; Terry, Ellen L.; DelVentura, Jennifer L.; Kerr, Kara L.; Palit, Shreela								Using multilevel growth curve modeling to examine emotional modulation of temporal summation of pain (TS-pain) and the nociceptive flexion reflex (TS-NFR)								PAIN				153	11			2274	2282		10.1016/j.pain.2012.07.030				NOV 2012	2012	Emotion can modulate pain and spinal nociception, and correlational data suggest that cognitive-emotional processes can facilitate wind-up-like phenomena (ie, temporal summation of pain). However, there have been no experimental studies that manipulated emotion to determine whether within-subject changes in emotion influence temporal summation of pain (TS-pain) and the nociceptive flexion reflex (TS-NFR, a physiological measure of spinal nociception). The present study presented a series of emotionally charged pictures (mutilation, neutral, erotic) during which electric stimuli at 2 Hz were delivered to the sural nerve to evoke TS-pain and TS-NFR. Participants (n = 46 healthy; 32 female) were asked to rate their emotional reactions to pictures as a manipulation check. Pain outcomes were analyzed using statistically powerful multilevel growth curve models. Results indicated that emotional state was effectively manipulated. Further, emotion modulated the overall level of pain and NFR; pain and NFR were highest during mutilation and lowest during erotic pictures. Although pain and NFR both summated in response to the 2-Hz stimulation series, the magnitude of pain summation (TS-pain) and NFR summation (TS-NFR) was not modulated by picture-viewing. These results imply that, at least in healthy humans, within-subject changes in emotions do not promote central sensitization via amplification of temporal summation. However, future studies are needed to determine whether these findings generalize to clinical populations (eg, chronic pain). (C) 2012 International Association for the Study of Pain. Published by Elsevier B.V. All rights reserved.																		0304-3959	1872-6623		WOS:000310772400019	22920754	
J	Xie, G.; Piche, M.; Khoshnejad, M.; Perlbarg, V.; Chen, J. -I.; Hoge, R. D.; Benali, H.; Rossignol, S.; Rainville, P.; Cohen-Adad, J.								Reduction of physiological noise with independent component analysis improves the detection of nociceptive responses with fMRI of the human spinal cord								NEUROIMAGE				63	1			245	252		10.1016/j.neuroimage.2012.06.057				OCT 15 2012	2012	The evaluation of spinal cord neuronal activity in humans with functional magnetic resonance imaging (fMRI) is technically challenging. Major difficulties arise from cardiac and respiratory movement artifacts that constitute significant sources of noise. In this paper we assessed the Correction of Structured noise using spatial Independent Component Analysis (CORSICA). FMRI data of the cervical spinal cord were acquired in 14 healthy subjects using gradient-echo EPI. Nociceptive electrical stimuli were applied to the thumb. Additional data with short TR (250 ms, to prevent aliasing) were acquired to generate a spatial map of physiological noise derived from Independent Component Analysis (ICA). Physiological noise was subsequently removed from the long-TR data after selecting independent components based on the generated noise map. Stimulus-evoked responses were analyzed using the general linear model, with and without CORSICA and with a regressor generated from the cerebrospinal fluid region. Results showed higher sensitivity to detect stimulus-related activation in the targeted dorsal segment of the cord after CORSICA. Furthermore, fewer voxels showed stimulus-related signal changes in the CSF and outside the spinal region, suggesting an increase in specificity. ICA can be used to effectively reduce physiological noise in spinal cord fMRI time series. (C) 2012 Elsevier Inc. All rights reserved.																		1053-8119			WOS:000308770300026	22776463	
J	Zuo, Chao; Yang, Xiaofei; Wang, Yang; Hagains, Christopher E.; Li, Ai-Ling; Peng, Yuan B.; Chiao, J-C								A digital wireless system for closed-loop inhibition of nociceptive signals								JOURNAL OF NEURAL ENGINEERING				9	5					056010	10.1088/1741-2560/9/5/056010				OCT 2012	2012	Neurostimulation of the spinal cord or brain has been used to inhibit nociceptive signals in pain management applications. Nevertheless, most of the current neurostimulation models are based on open-loop system designs. There is a lack of closed-loop systems for neurostimulation in research with small freely-moving animals and in future clinical applications. Based on our previously developed analog wireless system for closed-loop neurostimulation, a digital wireless system with real-time feedback between recorder and stimulator modules has been developed to achieve multi-channel communication. The wireless system includes a wearable recording module, a wearable stimulation module and a transceiver connected to a computer for real-time and off-line data processing, display and storage. To validate our system, wide dynamic range neurons in the spinal cord dorsal horn have been recorded from anesthetized rats in response to graded mechanical stimuli ( brush, pressure and pinch) applied in the hind paw. The identified nociceptive signals were used to automatically trigger electrical stimulation at the periaqueductal gray in real time to inhibit their own activities by the closed-loop design. Our digital wireless closed-loop system has provided a simplified and efficient method for further study of pain processing in freely-moving animals and potential clinical application in patients.																		1741-2560	1741-2552		WOS:000309511200011	22955012	
J	Grace, Peter M.; Hurley, Daniel; Barratt, Daniel T.; Tsykin, Anna; Watkins, Linda R.; Rolan, Paul E.; Hutchinson, Mark R.								Harnessing pain heterogeneity and RNA transcriptome to identify blood-based pain biomarkers: a novel correlational study design and bioinformatics approach in a graded chronic constriction injury model								JOURNAL OF NEUROCHEMISTRY				122	5			976	994		10.1111/j.1471-4159.2012.07833.x				SEP 2012	2012	J. Neurochem. (2012) 122, 976994. Abstract A quantitative, peripherally accessible biomarker for neuropathic pain has great potential to improve clinical outcomes. Based on the premise that peripheral and central immunity contribute to neuropathic pain mechanisms, we hypothesized that biomarkers could be identified from the whole blood of adult male rats, by integrating graded chronic constriction injury (CCI), ipsilateral lumbar dorsal quadrant (iLDQ) and whole blood transcriptomes, and pathway analysis with pain behavior. Correlational bioinformatics identified a range of putative biomarker genes for allodynia intensity, many encoding for proteins with a recognized role in immune/nociceptive mechanisms. A selection of these genes was validated in a separate replication study. Pathway analysis of the iLDQ transcriptome identified Fc? and Fce signaling pathways, among others. This study is the first to employ the whole blood transcriptome to identify pain biomarker panels. The novel correlational bioinformatics, developed here, selected such putative biomarkers based on a correlation with pain behavior and formation of signaling pathways with iLDQ genes. Future studies may demonstrate the predictive ability of these biomarker genes across other models and additional variables.																		0022-3042	1471-4159		WOS:000307969700012	22697386	
J	Brooks, Jonathan C. W.; Kong, Yazhuo; Lee, Michael C.; Warnaby, Catherine E.; Wanigasekera, Vishvarani; Jenkinson, Mark; Tracey, Irene								Stimulus Site and Modality Dependence of Functional Activity within the Human Spinal Cord								JOURNAL OF NEUROSCIENCE				32	18			6231	6239		10.1523/JNEUROSCI.2543-11.2012				MAY 2 2012	2012	Chronic pain is thought to arise because of maladaptive changes occurring within the peripheral nervous system and CNS. The transition from acute to chronic pain is known to involve the spinal cord (Woolf and Salter, 2000). Therefore, to investigate altered human spinal cord function and translate results obtained from other species, a noninvasive neuroimaging technique is desirable. We have investigated the functional response in the cervical spinal cord of 18 healthy human subjects (aged 22-40 years) to noxious thermal and non-noxious tactile stimulation of the left and right forearms. Physiological noise, which is a significant source of signal variability in the spinal cord, was accounted for in the general linear model. Group analysis, performed using a mixed-effects model, revealed distinct regions of activity that were dependent on both the side and the type of stimulation. In particular, thermal stimulation on the medial aspect of the wrist produced activity within the C6/C5 segment ipsilateral to the side of stimulation. Similar to data recorded in animals (Fitzgerald, 1982), painful thermal stimuli produced increased ipsilateral and decreased contralateral blood flow, which may reflect, respectively, excitatory and inhibitory processes. Nonpainful punctate stimulation of the thenar eminence provoked more diffuse activity but was still ipsilateral to the side of stimulation. These results present the first noninvasive evidence for a lateralized response to noxious and non-noxious stimuli in the human spinal cord. The development of these techniques opens the path to understanding, at a subject-specific level, central sensitization processes that contribute to chronic pain states.																		0270-6474			WOS:000303598900018	22553029	
J	Kong, Yazhuo; Jenkinson, Mark; Andersson, Jesper; Tracey, Irene; Brooks, Jonathan C. W.								Assessment of physiological noise modelling methods for functional imaging of the spinal cord								NEUROIMAGE				60	2			1538	1549		10.1016/j.neuroimage.2011.11.077				APR 2 2012	2012	The spinal cord is the main pathway for information between the central and the peripheral nervous systems. Non-invasive functional MRI offers the possibility of studying spinal cord function and central sensitisation processes. However, imaging neural activity in the spinal cord is more difficult than in the brain. A significant challenge when dealing with such data is the influence of physiological noise (primarily cardiac and respiratory), and currently there is no standard approach to account for these effects. We have previously studied the various sources of physiological noise for spinal cord fMRI at 1.5 T and proposed a physiological noise model (PNM) (Brooks et al., 2008). An alternative de-noising strategy, selective averaging filter (SAF), was proposed by Deckers et al. (2006). In this study we reviewed and implemented published physiological noise correction methods at higher field (3 T) and aimed to find the optimal models for gradient-echo-based BOLD acquisitions. Two general techniques were compared: physiological noise model (PNM) and selective averaging filter (SAF), along with regressors designed to account for specific signal compartments and physiological processes: cerebrospinal fluid (CSF), motion correction (MC) parameters, heart rate (HR). respiration volume per time (RVT), and the associated cardiac and respiratory response functions. Functional responses were recorded from the cervical spinal cord of 18 healthy subjects in response to noxious thermal and non-noxious punctate stimulation. The various combinations of models and regressors were compared in three ways: the model fit residuals, regression model F-tests and the number of activated voxels. The PNM was found to outperform SAF in all three tests. Furthermore, inclusion of the CSF regressor was crucial as it explained a significant amount of signal variance in the cord and increased the number of active cord voxels. Whilst HR, RVT and MC explained additional signal (noise) variance, they were also found (in particular HR and RVT) to have a negative impact on the parameter estimates (of interest) - as they may be correlated with task conditions e.g. noxious thermal stimuli. Convolution with previously published cardiac and respiratory impulse response functions was not found to be beneficial. The other novel aspect of current study is the investigation of the influence of pre-whitening together with PNM regressors on spinal fMRI data. Pre-whitening was found to reduce non-white noise, which was not accounted for by physiological noise correction, and decrease false positive detection rates. (c) 2011 Elsevier Inc. All rights reserved.																		1053-8119	1095-9572		WOS:000303272300064	22178812	
